Department Level 1,Department Level 2,Department Level 3,Role,Employment type,Time with organisation,,Age group,Gender,Which of the following building blocks do you work in? ,Mobility outside the office,Your main office location,"Other offices (including clients, partners, suppliers or serviced offices)",Working while travelling between locations,Home,Elsewhere,"Working from home, what type of work setting do you use most often?","In your workplace, what type of work setting do you use most often?",Mobility inside the office,"Individual focused work, desk based",Individual focused work away from your desk,Individual routine tasks,Reading,Collaborating on focused work,Collaborating on creative work,"Informal, un-planned meetings",Planned meetings,Informal social interaction,Business confidential discussions,Private conversations,Telephone conversations,Thinking/creative thinking,Learning from others,Audio conferences,Spreading out paper or materials,Using technical/specialist equipment or materials,Relaxing/taking a break,Larger group meetings or audiences,"Hosting visitors, clients or customers",Video conferences,Meeting rooms (large),Meeting rooms (small),Desk/room booking systems,Quiet rooms for working alone or in pairs,Informal work areas/break-out zones,Accessibility of colleagues,Variety of different types of workspace,Desk,Chair,Ability to personalise my workstation,Space between work settings,Dividers (between desk/areas),People walking past your workstation,Personal storage,Shared storage,Archive storage,General décor,Plants & greenery,Art & photography,Atriums & communal areas,Air quality,Temperature control,Noise levels,Natural light,Office lighting,Mail & post room services,IT Help desk,"Hospitality services (e.g. guest reception/services, catering, meeting services)",Restaurant/canteen,"Tea, coffee & other refreshment facilities","Leisure facilities onsite or nearby (e.g. gym, fitness/wellness centre)",Reception areas,General tidiness,General cleanliness,Security,Health & safety provision,"Access (e.g. lifts, stairways, ramps)",Internal signage,Shower facilities,Toilets/W.C.,"Parking (e.g. car, motorbike or bicycle)",Telephone equipment,Printing/copying/scanning equipment,"Computing equipment, fixed (desktop)","Computing equipment, mobile (e.g. laptop, tablet)",Wired in-office network connectivity,WiFi network connectivity in the office,Remote access to work files or network,Audio-Visual equipment,Guest/visitor network access,Workplace culture,"Corporate image (for visitors, clients, potential recruits etc.)",Environmental sustainability,It enables me to work productively,It enables us to work productively,It supports me sharing ideas/knowledge amongst colleagues,It creates an enjoyable environment to work in,It contributes to a sense of community at work,It's a place I'm proud to bring visitors to,The design of my workplace is important to me,What aspects of the Pier 4 *space* are your favorite and what could we work to improve?
Global Services (GS),Senior Manager / Director (SM),Other,Senior Leader,Full time,Over 12 years,,45-54,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,70,5,0,20,5,A non-work specific home location (such as a dining table),An informal work setting such as a break-out zone,I use multiple work settings and rarely base myself at a single location within the office,-2,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,2,-2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,2,0,2,0,0,0,2,0,1,-3,1,0,3,3,3,3,"Beautiful views, natural light, ergonomic workstations, interesting artwork, amazing cafes.  Very nice communal space."
NAMR ,Core Staff (CS) ,Finance,Individual Contributor,Full time,6 - 18 months,,25-34,Male,Pier 4 - NAMR ,I primarily work there but attend meetings off-site or work elsewhere,90,0,0,10,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,3,3,3,0,3,3,3,3,3,3,3,3,0,0,3,0,3,0,3,3,0,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,-1,0,2,1,1,2,1,1,1,2,2,2,1,1,0,1,0,2,2,-2,-1,2,2,0,2,0,2,2,0,3,3,1,3,3,3,3,3,3,3,
NAMR ,"Manager, Supervisor, Specialist (MSS)",Operations ,People Manager,Full time,18 months - 3 years,,25-34,Female,Pier 4 - NAMR ,I primarily work there but attend meetings off-site or work elsewhere,50,0,0,50,0,A dedicated work room or office,A quiet room/private office (available for flexible use),I perform the majority of my activities at a single work setting but also use other locations within the office,-1,1,0,1,1,1,0,2,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,-2,1,0,0,0,1,1,0,0,-1,0,-2,0,0,0,0,0,0,0,-2,-1,2,0,0,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,2,-1,1,-1,1,1,2,2,
NAMR ,"Manager, Supervisor, Specialist (MSS)",HR / People / D&I / Benefits,People Manager,Full time,18 months - 3 years,,25-34,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,90,0,0,10,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,1,1,1,0,2,0,0,2,0,0,0,3,1,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,2,0,-1,1,1,0,1,0,0,1,2,2,2,1,0,1,2,0,0,2,0,2,2,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,3,3,2,2,2,2,2,2,3,2,"The casual/informal spaces are something I didn’t even know the old office was missing, but had made a big impact on my productivity. I do a lot of work that requires focus and space and being able to get up from the desk and work in a physically different spot for an hour or two has been a big deal for my focus and overall enjoyment of the work. The barista is incredible, and frankly saves me a lot of time walking outside to a coffee place when I just need a break! It’s a beautiful building, the decor and furnishings are impeccable, and it makes me even more proud to work at BCG because I think it really shares how thoughtful and people-oriented we are as a firm. I do wish the meditation space were more inviting and less awkward — there’s one random chair, no cushions or options for sitting on the floor comfortably, and the way to use the space is unclear (do I lock the door if I’m the only one in there, do I book it just for myself, etc). I am surprised at how small the parking garage is — seems oddly short-sighted (totally recognize that was out of BCG’s control). But overall what gorgeous space we have!"
NAMR ,Senior Manager (SM) ,Finance,People Manager,Full time,3 - 8 years,,45-54,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,-2,0,0,0,0,0,2,2,-1,0,0,0,0,1,2,-2,0,0,0,-2,0,0,0,0,0,0,0,0,0,2,-1,1,2,0,0,2,0,0,2,2,2,2,2,0,0,1,1,-1,2,0,2,0,2,2,2,0,1,3,0,-1,-1,2,-1,-1,3,2,"The volume of joint workspaces is helpfulnow the we have overall have more space.  Thats the best I can come up with for how the new space is better than the old space.  It’s that there is overall more square footage.  What doesn’t work: longer commute (which seems to keep getting longer), lack of permanent desk space (also = complete lack of personalization in the space), lack of personal storage"
NAMR ,"Manager, Supervisor, Specialist (MSS)",Finance,People Manager,Full time,18 months - 3 years,,25-34,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,80,0,0,20,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,1,-1,0,0,2,0,0,2,0,0,-1,0,-2,-1,2,0,0,0,0,0,0,1,1,-1,-2,-1,-1,0,1,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,-2,1,0,-1,0,-2,0,-3,2,2,
Other,,,People Manager,Full time,Over 12 years,,45-54,Male,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,40,10,0,50,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,3,0,3,0,0,3,3,3,3,3,3,3,0,0,3,0,0,0,3,0,3,2,2,2,2,2,0,0,2,2,2,2,2,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,0,2,2,0,1,0,2,2,0,2,2,2,2,2,0,3,3,0,3,3,3,3,3,3,3,
Consulting,Local BST,,Individual Contributor,Full time,6 - 18 months,,18-25,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,"A workstation, assigned solely to you, in an open plan office area",I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,3,1,2,2,2,3,1,3,1,
Consulting,Consultant,,Individual Contributor,Full time,6 - 18 months,,35-44,Male,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,55,40,5,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,3,3,3,-1,3,3,3,3,3,0,3,3,3,3,3,0,0,-2,0,0,0,2,2,1,0,0,2,2,2,2,-2,0,0,0,0,0,-2,2,0,0,0,2,2,2,2,2,2,2,0,-1,1,1,2,2,2,0,0,0,0,0,2,-2,0,0,0,-2,0,2,1,0,0,2,3,2,3,3,3,3,3,3,3,"I love the design and atmosphere.  The work space provides settings for the variety of tasks we have to do on a daily basis - collaborate in teams, work independently, etc... A few important improvements come to mind - 1) I would love to see the cold-brew coffee bean choice to be re-visited (or perhaps rotate through different bean providers) 2) I would like to see some variation of the non-perishable snacks (fewer choices each day but on a rotating schedule would be nice)"
Consulting,Partner / Senior Partner,Principal Investors & Private Equity,Senior Leader,Full time,3 - 8 years,,35-44,Male,Pier 4 - Boston ,I primarily work there but attend meetings off-site or work elsewhere,60,20,0,20,0,A non-work specific home location (such as a dining table),A private office assigned solely to you,I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,2,2,0,2,2,3,3,3,3,0,0,-1,0,0,2,0,0,0,1,1,0,0,2,0,0,1,1,2,0,0,0,1,0,0,2,2,2,0,2,-1,0,2,-1,-1,0,1,0,1,0,2,1,-1,1,0,1,1,0,-2,2,2,2,0,1,0,2,1,1,0,3,3,2,2,2,2,3,3,3,3,"Favorite - 12th floor café; improve - bathroom cleanliness, carpet cleanliness, room booking"
Consulting,Project Leader,None of the above,People Manager,Full time,3 - 8 years,,25-34,Male,Pier 4 - Boston ,I rarely work there and primarily work elsewhere,30,60,10,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,2,0,0,0,3,3,2,3,3,3,3,3,3,3,Pier 4 is fantastic I don’t nave any gripes
Other,,,Individual Contributor,Full time,6 - 18 months,,25-34,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,"A workstation, assigned solely to you, in an open plan office area",I perform the majority of my activities at a single work setting but also use other locations within the office,3,3,3,3,3,0,3,3,3,0,3,3,0,3,3,0,0,3,0,0,0,0,0,1,2,0,0,0,2,2,2,2,0,0,2,0,0,2,2,2,0,0,0,0,0,-1,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,3,3,2,3,3,3,3,3,3,3,
